"KMETIJSKI PRIDELEK","2013 Povpreèna cena (EUR)","2014 Povpreèna cena (EUR)","2015 Povpreèna cena (EUR)","2016 Povpreèna cena (EUR)","2017 Povpreèna cena (EUR)","2018 Povpreèna cena (EUR)"
"ŽITA",...,...,...,...,...,...
"Pšenica",180.97,169.09,168.33,133.81,153.97,159.36
"Jeèmen",177.26,153.31,133.78,132.95,128.76,142.37
"Koruza v zrnju",169.23,125.28,131.77,130.61,141.25,146.93
"INDUSTRIJSKE RASTLINE",...,...,...,...,...,...
"Oljna ogršèica",0.36,0.31,0.36,0.33,0.32,0.31
"Hmelj",3.38,4.62,5.62,6.61,6.20,6.85
"Buèe za olje",2.83,3.38,3.77,2.96,2.43,1.99
"ZELENJADNICE, KROMPIR IN FIŽOL V ZRNJU",...,...,...,...,...,...
"Krompir, zgodnji",0.54,0.29,0.32,0.42,0.33,0.34
"Krompir, pozni",0.33,0.16,0.13,0.16,0.18,0.20
"Krompir, semenski",0.47,z,z,z,z,z
"Fižol, v zrnju",3.73,3.29,3.40,3.64,z,3.42
"Fižol, stroèji",2.43,2.13,2.04,1.89,2.62,2.46
"Èebula",0.54,0.37,0.32,0.41,0.43,0.52
"Èesen",5.53,3.67,3.38,4.18,4.74,z
"Por",0.85,0.64,0.84,0.91,0.93,1.00
"Zelje, belo",0.31,0.24,0.25,0.24,0.25,0.30
"Kitajski kapus",0.62,0.52,0.53,0.49,0.50,0.54
"Ohrovt",0.53,0.50,0.53,0.53,z,z
"Zelje, rdeèe",0.32,0.26,0.28,0.25,0.33,0.38
"Rdeèa pesa",0.14,0.13,0.13,0.13,z,z
"Cvetaèa",0.75,0.79,0.84,0.95,z,1.01
"Korenèek",0.44,0.38,0.47,0.44,z,z
"Paradižnik",0.94,1.33,1.30,z,z,z
"Paprika",0.86,0.79,0.90,0.76,0.77,0.82
"Solata",0.98,0.70,0.82,0.74,0.76,0.92
"Endivija",0.76,0.80,0.76,0.71,0.79,0.83
"Radiè",0.82,0.90,1.12,0.93,0.85,0.92
"Motovilec",5.64,4.92,5.31,4.79,z,z
"Kumare, solatne",0.56,0.47,0.46,0.44,0.41,0.50
"Kumare, za vlaganje",0.61,0.74,z,z,z,z
"Buèke",0.65,0.52,0.51,0.50,0.49,0.53
"Špinaèa",2.39,2.12,z,z,z,z
"Šparglji",5.46,5.28,5.33,5.26,5.51,5.51
"Gojene gobe",2.49,2.49,z,z,z,z
