"STATISTIÈNA REGIJA","VRSTA ŽIVINE","2003 Število kmetijskih gospodarstev","2003 Število živali","2005 Število kmetijskih gospodarstev","2005 Število živali","2007 Število kmetijskih gospodarstev","2007 Število živali","2010 Število kmetijskih gospodarstev","2010 Število živali","2013 Število kmetijskih gospodarstev","2013 Število živali","2016 Število kmetijskih gospodarstev","2016 Število živali"
"SLOVENIJA","Število glav velike živine [GVŽ]",68909,456167,66909,421587,63551,433382,58648,421553,57749,399349,55782,418684
"SLOVENIJA","Govedo",46736,478331,43675,461224,40842,472363,36119,472333,34087,462066,32805,486014
"SLOVENIJA","Prašièi",39484,607881,33945,505161,31690,544405,26441,382031,23700,287498,22649,273359
"SLOVENIJA","Perutnina",49369,5133858,45512,3292826,39786,5364220,36240,4900990,36657,4858025,37840,6222661
"SLOVENIJA","Konji",4728,16879,5128,19249,5081,19623,5948,22673,6029,21832,5766,19453
"SLOVENIJA","Ovce",5281,119631,5747,131126,5923,135887,6181,137737,6243,130657,6150,134929
"SLOVENIJA","Koze",3974,28690,4108,30826,4133,34593,4214,34864,4022,34542,4598,38564
"Pomurska","Število glav velike živine [GVŽ]",9107,56568,8476,50365,8217,54222,6748,43933,6042,36830,5980,38056
"Pomurska","Govedo",3810,40592,3158,38025,2932,39454,2206,35153,1736,33235,1464,32973
"Pomurska","Prašièi",8346,235161,7421,208319,7075,238785,5606,157817,5059,103877,4428,106351
"Pomurska","Perutnina",6630,355087,5577,357697,4948,478533,4009,468260,3709,631657,3797,924111
"Pomurska","Konji",181,N,227,N,210,N,253,796,303,N,217,597
"Pomurska","Ovce",114,N,124,N,172,N,219,3319,166,1911,N,3269
"Pomurska","Koze",258,N,286,N,266,N,226,1569,192,929,158,696
"Podravska","Število glav velike živine [GVŽ]",11547,88341,11362,78165,10969,83801,9774,79851,9180,73095,8876,73173
"Podravska","Govedo",6894,85214,6270,79472,5777,87351,5026,84135,4465,80672,4160,81696
"Podravska","Prašièi",10030,185928,9367,142895,9013,148351,7249,102376,6529,83367,5933,69374
"Podravska","Perutnina",8691,1709295,8615,1071976,7116,1744793,6411,2272886,5759,1799223,6521,2317211
"Podravska","Konji",354,N,394,N,480,N,572,1790,452,1645,560,1601
"Podravska","Ovce",341,N,654,N,660,12652,806,12665,780,11953,887,12491
"Podravska","Koze",600,N,430,N,466,N,497,3192,404,N,494,2782
"Koroška","Število glav velike živine [GVŽ]",2706,23864,2705,23270,2568,22393,2503,23809,2417,23974,2709,26281
"Koroška","Govedo",2369,28192,2350,28692,2259,27173,2090,29084,2061,29634,2281,32346
"Koroška","Prašièi",1981,10113,1826,6713,1599,6050,1407,6117,1166,4395,1392,5224
"Koroška","Perutnina",1714,152815,1498,N,1283,N,1267,240396,1215,194951,1421,278899
"Koroška","Konji",196,N,164,N,171,N,224,673,341,914,N,N
"Koroška","Ovce",426,N,453,6491,449,6521,475,7444,384,7479,508,7933
"Koroška","Koze",273,N,166,N,196,N,253,1593,112,576,N,N
"Savinjska","Število glav velike živine [GVŽ]",11041,74625,10656,70570,10326,72068,9882,72636,9691,69461,8577,70261
"Savinjska","Govedo",9274,87383,8577,86736,8172,88787,7688,89756,7236,86376,6883,88998
"Savinjska","Prašièi",8141,36829,6495,24680,6442,29142,5377,25129,4664,21451,4546,19358
"Savinjska","Perutnina",7615,N,6858,529142,6385,791268,5978,791606,5960,881670,5615,864493
"Savinjska","Konji",682,N,821,2368,822,2645,911,2788,870,2233,727,1993
"Savinjska","Ovce",951,N,1009,19944,1255,22187,1135,20974,1278,22065,992,18727
"Savinjska","Koze",643,N,768,N,774,N,773,5551,714,4497,669,5153
"Zasavska","Število glav velike živine [GVŽ]",983,N,1008,5777,865,4660,963,5325,807,4389,1546,9995
